id,category,title_or_collection,author_or_editor,translator,first_published,era,origin,original_language,style_genre,tone,typical_length_estimate,source_type,standard_ebooks_repo_verified,other_sources_to_check,us_pd_basis,author_death_year,life_plus_70_status_2026,content_notes,blind_mode_fit,test_priority,why_it_fits
1,Curated anthology / annual,The Best Short Stories of 1915–1919 (annual),Edward J. O'Brien (ed.),,1915–1919,Interwar (1915–1930),USA,English,Literary magazine fiction,"Varied, earnest",Short–medium,Annual anthology,,HathiTrust full view; Internet Archive (verify); some on Gutenberg,Published before 1931 → US PD,1941,Mixed — depends on each contributor,,High,A,One editor's yearly picks from all US magazines; includes his story ratings = free metadata
2,Curated anthology / annual,The Best Short Stories of 1920–1924 (annual),Edward J. O'Brien (ed.),,1920–1924,Interwar (1915–1930),USA,English,Literary magazine fiction,"Varied, post-war",Short–medium,Annual anthology,,HathiTrust full view; Internet Archive (verify); some on Gutenberg,Published before 1931 → US PD,1941,Mixed — depends on each contributor,,High,A,"Captures the shift to modernism year by year; natural ""same year"" door"
3,Curated anthology / annual,The Best Short Stories of 1925–1930 (annual),Edward J. O'Brien (ed.),,1925–1930,Interwar (1915–1930),USA,English,Literary / early modernist,"Sharper, more modern",Short–medium,Annual anthology,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US PD (1930 volume PD since 2026),1941,Mixed — depends on each contributor,,High,A,Hemingway/Fitzgerald-era picks; 1930 volume just entered PD
4,Curated anthology / annual,The Best British Short Stories 1922–1930 (annual),Edward J. O'Brien (ed.),,1922–1930,Interwar (1915–1930),UK/Ireland,English,Literary magazine fiction,"Understated, wry",Short–medium,Annual anthology,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US PD,1941,Mixed — depends on each contributor,,High,B,British counterpart to the US annual; same editor = comparable taste
5,Curated anthology / annual,O. Henry Memorial Award Prize Stories 1919–1930,"Society of Arts and Sciences (Blanche Colton Williams, ed.)",,1919–1930,Interwar (1915–1930),USA,English,Prize-winning magazine fiction,"Plot-forward, crowd-pleasing",Medium,Annual anthology,,HathiTrust full view; Internet Archive (verify); some on Gutenberg,Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,A,A second jury with different taste from O'Brien — good A/B test
6,Curated anthology / annual,Stories by American Authors (10 vols),Charles Scribner's Sons,,1884–1885,Victorian (1850–1889),USA,English,Gilded Age magazine fiction,"Genteel, surprising",Medium,Anthology series,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,B,"Pre-curated 19th-c. picks, mostly forgotten authors = perfect for blind reading"
7,Curated anthology / annual,"Stories by English Authors (10 vols, by region/theme)",Charles Scribner's Sons,,1896,Fin de siècle (1890–1914),UK,English,Victorian magazine fiction,Varied,Medium,Anthology series,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,B,"Already grouped by theme (London, Ireland, the Sea…) = ready-made doors"
8,Curated anthology / annual,"Stories by Foreign Authors (10 vols, by country)",Charles Scribner's Sons,Various,1898,Fin de siècle (1890–1914),Europe,Various (translated),European realism in translation,Varied,Medium,Anthology series,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,B,Pre-curated translated stories grouped by country
9,Curated anthology / annual,Great Short Stories of the World,Barrett H. Clark & Maxim Lieber (eds.),Various,1925,Interwar (1915–1930),Global,Various (translated),World fiction survey,Varied,Short–medium,Anthology,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,A,One volume spanning ancient Egypt to the 1920s across dozens of countries — instant variety
10,Curated anthology / annual,The Short Story: Specimens Illustrating Its Development,Brander Matthews (ed.),,1907,Fin de siècle (1890–1914),Global,English + translated,Historical survey,Classic,Medium,Teaching anthology,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1929,Mixed — depends on each contributor,,Med,C,Ordered as an evolution of the form — a built-in chronological path
11,Curated anthology / annual,Short Story Classics (American / Foreign),William Patten (ed.),,1905,Fin de siècle (1890–1914),USA / Europe,English + translated,Classics,Classic,Medium,Anthology series,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,Med,C,Early-1900s canon as seen then
12,Curated anthology / annual,Modern Short Stories,Margaret Ashmun (ed.),,1914,Fin de siècle (1890–1914),USA/UK,English,Teaching anthology,Accessible,Short–medium,Anthology,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1940,Mixed — depends on each contributor,,Med,C,Selected specifically as good single-sitting reads
13,Curated anthology / annual,The Library of the World's Best Mystery and Detective Stories (6 vols),Julian Hawthorne (ed.),,1907,Fin de siècle (1890–1914),Global,English + translated,"Mystery, detection",Suspenseful,Medium,Anthology series,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1934,Mixed — depends on each contributor,,Med,B,Pre-curated genre survey by country
14,Curated anthology / annual,Masterpieces of Mystery (4 vols),Joseph Lewis French (ed.),,1920,Interwar (1915–1930),Global,English + translated,"Mystery, ghost, riddle stories",Eerie,Medium,Anthology series,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1936,Mixed — depends on each contributor,,Med,B,Split into ghost / riddle / detective volumes
15,Curated anthology / annual,"The Omnibus of Crime (UK: Great Short Stories of Detection, Mystery and Horror)",Dorothy L. Sayers (ed.),,1928,Interwar (1915–1930),Global,English + translated,"Crime, horror",Dark,Medium,Anthology,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US PD (check individual stories' first publication),1957,Mixed — depends on each contributor,,Med,B,A great crime writer's picks; her intro essay is its own read
16,Curated anthology / annual,Mark Twain's Library of Humor,Mark Twain et al. (eds.),,1888,Victorian (1850–1889),USA,English,Humor sketches,Funny,Flash–short,Anthology,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1910,Mixed — depends on each contributor,,High,B,"19th-c. American humor, pre-curated"
17,Curated anthology / annual,The German Classics of the 19th and 20th Centuries (20 vols),Kuno Francke (ed.),Various,1913–1914,Fin de siècle (1890–1914),Germany/Austria,German (translated),"Novellas, tales",Romantic to realist,Medium–long,Anthology series,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,Med,C,"Kleist, Storm, Keller novellas in translation"
18,Curated anthology / annual,Yiddish Tales,Helena Frank (trans./ed.),Helena Frank,1912,Fin de siècle (1890–1914),Eastern Europe,Yiddish (translated),Shtetl fiction,"Tender, ironic",Short,Anthology,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1954,Mixed — depends on each contributor,,High,B,A whole tradition in one curated volume
19,Curated anthology / annual,The New Negro (fiction sections),Alain Locke (ed.),,1925,Interwar (1915–1930),USA,English,Harlem Renaissance,"Vivid, modern",Short–medium,Anthology,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,B,"Includes Toomer, Fisher, Hurston; landmark curation"
20,Magazine archive,The Golden Book Magazine (1925–1930 issues),Henry W. Lanier (ed.),,1925–1930,Interwar (1915–1930),USA,English + translated,Reprints of classic stories,Classic,Short–medium,Magazine of curated reprints,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,A,A 1920s magazine whose whole job was picking the best old stories — your exact model
